1	25831913	2
1	156525405	2
1	200551497	2
2	112736607	2
2	96335787	2
2	10122328	2
3	10026414	2
3	20160593	2
4	185396021	1
6	33391536	2
6	31586124	1
8	25458997	2
8	133237171	1
8	22275297	1
9	35658875	2
10	93496632	2
10	72273920	1
10	128096659	2
10	56357228	2
11	10304680	1
11	65066300	2
11	82899975	2
11	59107185	2
11	45240301	1
12	4538798	2
13	21153595	2
15	89243949	2
15	64364311	2
15	69414246	2
15	41332694	2
17	16689537	2
17	6444415	2
17	63938554	1
17	4498838	1
17	39210536	1
17	40388516	2
19	8363289	1
19	14119509	2
19	38730187	1
19	5842888	1
19	11131520	2
20	43667019	2
20	45812576	2
22	41938721	2
